customer_id,name,email,phone,address,birthdate
61,Customer 61,customer61@example.com,08974961878,Alamat No. 61,1997-07-23
62,Customer 62,customer62@example.com,08226663049,Alamat No. 62,2001-05-12
63,Customer 63,customer63@example.com,08310798882,Alamat No. 63,2009-11-02
64,Customer 64,customer64@example.com,08214754154,Alamat No. 64,1984-11-17
65,Customer 65,customer65@example.com,0827431992,Alamat No. 65,1973-03-30
66,Customer 66,customer66@example.com,08166104174,Alamat No. 66,1975-02-05
67,Customer 67,customer67@example.com,08120588994,Alamat No. 67,1972-03-07
68,Customer 68,customer68@example.com,08756466387,Alamat No. 68,2005-09-06
69,Customer 69,customer69@example.com,08191469882,Alamat No. 69,2009-01-06
7,Customer 7,customer7@example.com,08946610729,Alamat No. 7,1991-08-24
70,Customer 70,customer70@example.com,08724865974,Alamat No. 70,1970-06-16
71,Customer 71,customer71@example.com,08439124638,Alamat No. 71,1976-05-03
72,Customer 72,customer72@example.com,08603768700,Alamat No. 72,1978-04-20
73,Customer 73,customer73@example.com,08672117995,Alamat No. 73,2005-02-01
74,Customer 74,customer74@example.com,08673504409,Alamat No. 74,1970-03-14
75,Customer 75,customer75@example.com,08511791897,Alamat No. 75,1970-07-27
76,Customer 76,customer76@example.com,08872523152,Alamat No. 76,2004-02-20
77,Customer 77,customer77@example.com,08109371714,Alamat No. 77,1974-09-17
78,Customer 78,customer78@example.com,08412925466,Alamat No. 78,1978-03-02
79,Customer 79,customer79@example.com,08480471823,Alamat No. 79,2000-08-08
8,Customer 8,customer8@example.com,0844010487,Alamat No. 8,1993-06-30
80,Customer 80,customer80@example.com,0840747403,Alamat No. 80,1977-12-14
81,Customer 81,customer81@example.com,08604251602,Alamat No. 81,1994-12-30
82,Customer 82,customer82@example.com,08866782806,Alamat No. 82,1986-03-28
83,Customer 83,customer83@example.com,08872812254,Alamat No. 83,1987-07-31
84,Customer 84,customer84@example.com,08643416712,Alamat No. 84,1992-05-13
85,Customer 85,customer85@example.com,08185312085,Alamat No. 85,1976-08-19
86,Customer 86,customer86@example.com,08674500932,Alamat No. 86,1982-03-04
87,Customer 87,customer87@example.com,08184185099,Alamat No. 87,2005-09-25
88,Customer 88,customer88@example.com,08743893137,Alamat No. 88,2006-01-15
89,Customer 89,customer89@example.com,08949749016,Alamat No. 89,1986-01-17
9,Customer 9,customer9@example.com,08234644691,Alamat No. 9,2003-11-03
90,Customer 90,customer90@example.com,08404936105,Alamat No. 90,1979-11-26
91,Customer 91,customer91@example.com,0820325041,Alamat No. 91,2004-05-04
92,Customer 92,customer92@example.com,08544798569,Alamat No. 92,1970-11-05
93,Customer 93,customer93@example.com,0879311684,Alamat No. 93,1979-02-04
94,Customer 94,customer94@example.com,08516900306,Alamat No. 94,1992-03-13
95,Customer 95,customer95@example.com,08186390965,Alamat No. 95,2009-03-18
96,Customer 96,customer96@example.com,08248381762,Alamat No. 96,1983-01-25
97,Customer 97,customer97@example.com,08564100533,Alamat No. 97,2010-12-10
98,Customer 98,customer98@example.com,08829716157,Alamat No. 98,2003-01-25
99,Customer 99,customer99@example.com,08715085336,Alamat No. 99,2006-01-01
